burnham park|-74.4966539 40.798698
new montclair nail  spa|-74.2200631 40.8155067
dunkin donuts|-74.2203207 40.8156269
unitarian universalist congregation at montclair|-74.2207263 40.8151344
montclair public schools|-74.2217342 40.8155386
milk money montclair|-74.2214608 40.8146996
one savvy design|-74.2213111 40.8146514
the salvation army|-74.2216816 40.8140486
christ church|-74.2208833 40.8142943
the siena|-74.2204499 40.813935
oasis|-74.2194257 40.8139437
scala del nonna|-74.2191313 40.8137985
mannys diner|-74.2181712 40.8137334
the crescent deck|-74.2187568 40.8131842
gelotti of montclair|-74.2196781 40.8159058
vanity salon|-74.2197183 40.8161861
music dietetic|-74.2196748 40.816249
pedal montclair|-74.2195348 40.8164234
park street automotive|-74.2188276 40.8158319
plum on park|-74.2188459 40.8155794
immaculate conception church|-74.2168286 40.8156465
first united methodist church of montclair|-74.2174601 40.8150609
central presbyterian church|-74.2172281 40.8177049
papasikos orthodontist|-74.2164839 40.8173865
pnc bank|-74.2160856 40.8176682
american red cross|-74.2158545 40.8178529
the wellmont theatre|-74.2166714 40.812653
vital|-74.2157167 40.8127762
chatni indian|-74.2155323 40.8127188
mausum|-74.2154672 40.8126735
kimchi smoke house ii|-74.2147767 40.8120114
phil cantor photography|-74.2140296 40.8117919
dlv lounge|-74.2144416 40.8111685
greek taverna|-74.2140035 40.8106955
exxon|-74.2134338 40.8100954
palazzo|-74.2175433 40.8133783
lackawanna plaza|-74.2127978 40.811428
mc hotel|-74.2224024 40.817234
costco|-74.2549179 40.8900698
costco gasoline|-74.2511724 40.8911602
dicks sporting goods|-74.2535586 40.8886192
la z boy|-74.2536265 40.8919846
guest parking|-74.4128397 40.8163392
b|-74.4119645 40.817299
gym|-74.4104757 40.8165384
paramus public library|-74.0606018 40.9264178
james a mcfaul environmental center|-74.1512559 41.0088072
saddle river county park   wild duck pond|-74.0936134 40.9748639
tomala   santiago residence|-74.4940433 40.898941
skate park|-74.1825993 41.1928082
allendale steakhouse|-74.1293391 41.0301312
dunkin|-74.1271936 41.0299951
allendale flowers|-74.1284377 41.0306605
allendale dental|-74.1270058 41.0304857
exxon|-74.130509 41.0316302
wells fargo|-74.1272251 41.0295695
whippany park high school|-74.4241581 40.814227
building|-74.3867928 40.8038918
frank r lautenberg visitor center|-74.2569291 41.1990354
bais malka   belz girls school|-74.0600577 41.1447644
pearl r miller middle school|-74.3736355 40.9946405
kiel elementary school|-74.3726526 40.9966638
medical arts building|-74.0358568 40.9122546
cvs pharmacy|-74.0367084 40.9128798
hillcrest firehouse engine company|-74.1921461 40.9170935
lakeview firehouse engine company|-74.1475725 40.9017438
riverside firehouse engine company|-74.1550564 40.9251444
lodi high school|-74.0877549 40.8867679
betsy ross elementary school|-74.1404466 41.0928376
autozone|-74.2727516 40.9463785
ba market|-74.3024827 40.9850091
al ghazaly jr sr high school|-74.2709454 40.9725828
tsf academy|-74.2707692 40.9733149
our lady of consolation church|-74.2652002 40.9724909
major league auto spa|-74.2947651 41.0064423
city motor group inc|-74.2962708 41.0180397
meating place|-74.2964643 41.0219844
gulf|-74.2965942 41.0225735
gulf express|-74.296707 41.0224255
laurie field|-74.2973957 41.0248344
lantern|-74.2960754 41.0268703
eleven|-74.2964854 41.027324
haskell post office|-74.2964372 41.0276847
wanaque fire department company|-74.2950068 41.0302482
exxon|-74.2959178 41.0304014
tullo  damico services|-74.2957079 41.0304004
lakeland health care center|-74.2942515 41.0312237
mar del manor|-74.2957144 41.0331389
mcdonalds|-74.4233342 40.8710261
george gramby memorial park|-74.4737106 40.8004481
excelsior fire engine co|-74.025724 41.0629859
trinity lutheran church|-74.4845823 40.8307121
morris county garage|-74.4650129 40.8096672
morris plains public library|-74.4865253 40.8283634
christopher columbus middle school|-74.1512829 40.8804804
nj transit wayne bus depot|-74.2475407 40.8996739
washington park|-74.1571578 40.8750607
urma park|-74.171909 40.8629119
normandy park|-74.1335929 40.8891336
main mall park|-74.140587 40.8749838
legion park|-74.1355295 40.8753327
hillside park|-74.1445616 40.8320071
clifton skatezone|-74.1452013 40.8701752
bayeux park|-74.1478863 40.8580825
bee meadow elementary school|-74.4063276 40.8316799
green hill plaza|-74.4264631 40.8595486
big lots|-74.0759776 40.9638025
fashion center mall|-74.0756386 40.9666863
paramus fire company|-74.0771926 40.96931
joann fabrics and crafts|-74.0737288 40.9590431
floor  decor|-74.0719176 40.9587768
parkway elementary school|-74.067613 40.9660312
mack cali|-74.0705303 40.9617356
starbucks|-74.0434844 40.8553065
lincoln elementary school|-74.2698464 40.836691
eleven|-74.1945024 40.8122161
dunkin|-74.1944822 40.8120257
sheraton mahwah|-74.1608992 41.1044631
bolla market|-74.1657326 41.1002441
sunoco|-74.1654215 41.1004456
sunoco diesel|-74.1654092 41.1000009
the river palm terrace|-74.1619857 41.0975313
fairfield inn|-74.1633549 41.096755
hundu samaj temple of mahwah|-74.1637372 41.0960331
holy cross lutheran church|-74.1653775 41.0951375
beth haverim shir shalom|-74.1676177 41.0955632
north field|-74.1710531 41.0884241
tavern|-74.158995 41.0966625
mobil|-74.1540328 41.091792
softball field|-74.1773639 41.0861002
jeff maund memorial baseball field|-74.1774614 41.0844978
competition soccer field|-74.1786225 41.0850486
panera bread|-74.0623647 40.8599483
bjs brewhouse|-74.0608658 40.8607314
texas roadhouse|-74.060871 40.8603445
teterboro landing park|-74.0594554 40.8616849
montclair bread company|-74.2116744 40.8170178
ted bell park|-74.1143991 41.0161562
the aviation hall of fame of new jersey|-74.0553849 40.8523841
st josephs catholic church|-74.0428125 41.1243177
haledon public school|-74.188746 40.9323123
performance buick gmc|-74.4452073 40.8341031
red carpet inn|-74.4433354 40.8337316
americas best value inn whippany|-74.4436246 40.8340704
лукойл|-74.4421707 40.8339412
lukoil|-74.4421924 40.8341083
pnc bank|-74.4466397 40.8356576
hilton parsippany|-74.4552554 40.8412272
boconcept|-74.0759522 40.9596971
shell|-74.0747195 40.9591329
midas|-74.0728178 40.9548255
dunkin donuts|-74.0728168 40.9546582
my house kitchen|-74.0728028 40.9544754
all american ford|-74.0727753 40.946464
exxon|-74.0722712 40.9451451
getty|-74.0722437 40.9446197
sunoco|-74.0720507 40.9436222
faber park|-74.0705546 40.9374939
red lobster|-74.0715168 40.9352201
wild birds unlimited|-74.0712539 40.9337864
dtv installations|-74.0717564 40.933895
starbucks|-74.071251 40.9329684
moes southwest grill|-74.0711054 40.9325783
suburban diner|-74.0701329 40.9324509
paramus building supply|-74.0711663 40.9301169
exxon|-74.0702253 40.9275045
quick  fresh|-74.0700466 40.9277613
hertz|-74.0702924 40.9270215
paramus municipal garage|-74.0692285 40.9269003
paramus fire department|-74.0681929 40.9265044
bergen county life safety complex|-74.0680529 40.9276418
paramus borough hall|-74.0699912 40.9260596
paramus police department|-74.0681903 40.9255919
porcelanosa|-74.0720187 40.9254657
paramus fabric center|-74.0704516 40.9255859
lazzoni furniture|-74.0705979 40.9253845
capital carpets center|-74.0708611 40.9244866
hy gorgeous lash bar|-74.0710403 40.9228859
the shops at riverside|-74.0306422 40.9060836
hour fitness|-74.0495282 40.913698
millers ale house|-74.05012 40.9138456
prospect park minicipal building|-74.1735458 40.9347944
hawthorne memorial pool|-74.1591393 40.9416211
pearl river middle school|-74.0012751 41.0515293
lowes|-74.3344995 40.9918261
applebees|-74.3368644 40.9907322
wendys|-74.3371303 40.9907754
the vitamin shoppe|-74.3396803 40.991197
quickchek|-74.3446121 40.9914818
empire steak|-74.3493791 40.9941445
zizia pizzeria|-74.1922848 40.8120724
cenzino osteria|-74.2348142 41.037516
delta|-74.2341626 41.0375193
mountain lake volunteer fire department|-74.4536679 40.8857781
gate house|-74.2524982 41.161216
woodrow wilson middle school|-74.17468 40.8745143
lot    waldwick station|-74.1233044 41.0133475
washington park|-74.0469309 40.9689151
centennial park|-74.0152588 40.9744937
memorial elementary school|-74.0328506 40.9813917
parker center for plastic surgery|-74.069286 40.9655475
red barn|-74.1373911 41.0369772
township of washington public library|-74.0620059 40.986624
bank of america|-74.0802638 40.8595889
dumpling|-74.0769506 40.862937
corpus christi|-74.0762872 40.8633293
corpus christi|-74.0758303 40.8628761
walmart|-74.0938254 40.89224
presidential center|-74.3425384 40.7998559
building|-74.2274301 40.9541203
building|-74.2280765 40.9540642
building|-74.2285698 40.9542016
building|-74.2271827 40.9546252
jefferson elementary school|-74.1211242 40.8169066
building|-74.228529 40.9549177
building|-74.2278057 40.9546945
building|-74.22813 40.9553939
building|-74.228561 40.9555457
building|-74.2276153 40.955401
building|-74.2271251 40.9553995
bethany church|-74.0624177 40.9893462
david joseph jurist research center for tomorrows children|-74.0570905 40.8846925
hackensack university medical plaza|-74.0574359 40.8839149
visitors parking|-74.0570518 40.883279
george link jr pavilion|-74.0562433 40.8840115
patient pavilion|-74.0556442 40.8834819
johnson hall|-74.0562347 40.8826819
the sarkis and siran gabrellian child care and learning center|-74.0561008 40.8824349
the audrey hepburn childrens house|-74.0549318 40.8822682
employee parking garage|-74.0544377 40.8832006
hillcrest building|-74.0541353 40.8837354
john theurer cancer center|-74.0534065 40.8844266
railroad parking garage|-74.050711 40.8829975
don imus wfan pediatric center for tomorrows children|-74.0549091 40.884256
jeffery m creamer trauma center emergency department|-74.0554292 40.8843923
the sarkis and siran gabrellian womens and childrens pavilion|-74.0559605 40.8847286
the creamer family institute for medical imaging|-74.0564401 40.8843967
atlantic street parking garage|-74.0550176 40.8850374
alfred n sanzari medical arts building|-74.0586026 40.8841702
john martino park|-74.0567948 40.9896382
our lady of good counsel church|-74.0612235 40.9819846
the mckenna school of dance|-74.2514331 40.9468469
ridgemont shopping center|-74.0303026 41.0361244
beechwood park|-74.0280995 41.0043673
clark field|-74.0561144 40.9936549
bp|-74.056395 40.9960808
teds place|-74.0564854 40.9960307
lieutenant carey a arthur memorial park|-74.2564661 40.9955564
structural arts|-74.2443862 40.9452292
elite landscape maintenance|-74.2450184 40.9451548
knights of columbus|-74.0664289 40.9786649
stone mill gardens|-74.0650947 40.981591
monroe recreation area|-74.4405881 40.8091659
monroe hall|-74.4401993 40.8085858
memorial park|-74.1402319 41.1222484
kathryn gorman ponds park|-74.1105132 41.1250356
valley bible chapel|-74.0679803 40.9782241
temple beth or|-74.0700815 40.9787503
washington grand|-74.0695719 40.9796507
electrotech services|-74.2482143 40.9398872
degnan park|-74.2623379 40.8034196
lukoil|-74.0642043 40.9858065
infinity flowers|-74.0643226 40.9856473
the italian touch|-74.0643393 40.9855895
the dog house saloon  grill|-74.0644453 40.985218
vacant plot|-74.146444 40.8668082
childrens playground and water park|-74.1480068 40.8700416
starbucks|-74.4600515 40.8413924
washington twp volunteer ambulance corp|-74.065038 40.9878218
washington twp recreaction center|-74.0711557 40.9892155
oritani bank|-74.063975 40.9883796
rovere  sons contractors llc|-74.2430528 40.9384131
makeup by artsyandpettite|-74.2432527 40.9375204
richard la bossiere|-74.2438296 40.9374735
ceo focus of new jersey|-74.2447583 40.9374144
td bank|-74.061477 40.995275
washington township tennis club  fitness center|-74.0616996 40.9962626
seasons catering|-74.0606251 40.9969413
whitestone gardens bldg|-74.1888951 40.8105688
whitestone gardens bldg|-74.1886457 40.8103435
whitestone gardens bldg|-74.188272 40.8108884
whitestone gardens bldg|-74.1879803 40.8107335
whitestone gardens bldg|-74.1887592 40.8100099
whitestone gardens bldg|-74.1900097 40.8098855
whitestone gardens bldg|-74.1896667 40.8097418
whitestone gardens bldg|-74.1896375 40.8094202
whitestone gardens bldg|-74.1906715 40.8095053
whitestone gardens bldg|-74.1904468 40.8092503
whitestone gardens bldg|-74.1902096 40.8089669
whitestone gardens bldg|-74.1909349 40.8090717
angar air conditioning|-74.2460949 40.9355655
psychic medium colleen frances|-74.2476106 40.9369121
avalon bloomingdale|-74.3139791 41.0164237
twp of washington fire department|-74.0581574 40.9969228
express mart|-74.0592359 40.997216
exxon|-74.0593512 40.9971831
gleason electric llc|-74.2427906 40.9329211
english neighborhood park|-74.0073951 40.8229551
nu dimensions landscape|-74.2477641 40.9326885
primerano construction llc|-74.2466647 40.9345178
bedrock builders|-74.2462451 40.9299828
rnc llc|-74.2513685 40.9301258
alexander hamilton elementary school|-74.4907584 40.801489
portofino|-74.4892226 40.8015695
good vibrations music studio|-74.2507365 40.9323328
corporate computer solutions|-74.2542992 40.9283897
alan hughes construction co|-74.2525339 40.9326837
mailly consulting inc|-74.2515217 40.9282699
jay jantzen photography|-74.2528001 40.9271783
palacio del macrone|-74.2454461 40.9280188
awessistant support services|-74.2293377 40.9579215
love global vision church|-74.1788353 40.8687269
montclair art museum park area|-74.224653 40.8186195
starbucks|-74.2402593 40.9607199
weichert realtors|-74.2341814 40.9592213
bliss salon  spa|-74.224292 40.9489882
vivekananda vidyapith inc|-74.2234158 40.9498071
blooming nails|-74.2304617 40.9586527
l b appraisals inc|-74.2308058 40.9587202
creative k b|-74.2311398 40.958745
wayne family dental|-74.2315361 40.9588012
balla joseph a dds|-74.2330792 40.959081
on site hvac  general contractors llc|-74.2304714 40.9564389
brookdale wayne|-74.2233723 40.9584375
arden courts of wayne|-74.2226028 40.9578367
teamsters|-74.2169988 40.9544865
mesce associates inc|-74.2165218 40.9543511
herbert j hinchman  son inc|-74.2166892 40.9506018
herbert j hinchman  son inc|-74.2160343 40.950555
herbert j hinchman  son inc|-74.2157743 40.9505194
ridgid paper tube corporation|-74.2128122 40.9520952
shaf international inc milwaukee leather|-74.2142733 40.9522891
lance corporal ralph valt memorial park|-74.2280525 40.9231815
charlie browns|-74.0713871 40.977281
elite surgical center|-74.2082318 40.9483033
serafini  serafini pc|-74.2068634 40.9471342
jim duke contracting|-74.2581907 40.946646
miriam j toonkel lcsw|-74.25782 40.9437716
ims industries|-74.2547029 40.9409293
onaantiquescom|-74.256168 40.9425424
a stroke of magic|-74.2569681 40.9404456
little bow studios|-74.2557969 40.9382247
orange place park|-74.2634125 40.9386267
tony dallessandro architect|-74.2592092 40.9365633
burton electric inc|-74.2636482 40.9342877
summer water llc|-74.2553549 40.9378683
odmark g n|-74.2671459 40.9329056
massood law group llc|-74.2678122 40.9329327
east hanover township pool|-74.3420848 40.8309233
totland playground|-74.3424618 40.8313802
tom rinaldi recreation center|-74.3428584 40.8314985
lurker park main soccer field|-74.3456118 40.8319846
uncle bills grove|-74.3449447 40.8327173
lurker park skate rink|-74.3422453 40.8300917
cutleaf publishing co|-74.2624085 40.939299
burke court reporting llc|-74.2605233 40.9400588
alexis technology inc|-74.2670637 40.9420208
